Norway_index,z_index_index,ATC_match,best_z_index_index
69,30595,True,212296
69,35530,True,212296
69,44021,True,212296
69,49654,True,212296
69,51759,True,212296
69,64517,True,212296
69,72725,True,212296
74,296,True,5959
74,657,True,5959
74,1060,True,5959
74,1379,True,5959
74,1681,True,5959
74,1753,True,5959
74,6644,True,5959
74,6871,True,5959
74,22806,True,5959
74,25371,True,5959
74,27724,True,5959
74,32929,True,5959
74,34573,True,5959
74,34594,True,5959
74,34595,True,5959
74,34596,True,5959
74,34597,True,5959
74,37848,True,5959
74,39664,True,5959
74,42039,True,5959
74,44236,True,5959
74,46148,True,5959
74,48548,True,5959
74,48549,True,5959
74,48550,True,5959
74,48551,True,5959
74,49625,True,5959
74,49626,True,5959
74,49627,True,5959
74,49629,True,5959
74,50271,True,5959
74,51797,True,5959
74,52123,True,5959
74,53153,True,5959
74,57698,True,5959
74,57699,True,5959
74,57700,True,5959
74,57701,True,5959
74,58683,True,5959
74,58684,True,5959
74,59311,True,5959
74,64583,True,5959
74,65078,True,5959
74,65088,True,5959
74,65089,True,5959
74,65090,True,5959
74,65096,True,5959
74,65097,True,5959
74,65098,True,5959
74,65099,True,5959
74,65405,True,5959
74,65489,True,5959
74,65860,True,5959
74,67158,True,5959
74,68493,True,5959
74,69958,True,5959
74,69959,True,5959
74,69960,True,5959
74,71092,True,5959
74,71095,True,5959
74,71106,True,5959
74,71108,True,5959
74,71197,True,5959
77,429,True,53007
77,552,True,53007
77,609,True,53007
77,1339,True,53007
77,1594,True,53007
77,4194,True,53007
77,4535,True,53007
77,4536,True,53007
77,13582,True,53007
77,42510,True,53007
77,42511,True,53007
77,69244,True,53007
80,3464,True,
80,3465,True,
80,7326,True,
80,14554,True,
80,18788,True,
81,2620,True,
81,2621,True,
81,2622,True,
81,6396,True,
81,7332,True,
81,46624,True,
82,851,True,32476
82,853,True,32476
82,1374,True,32476
82,3774,True,32476
82,4196,True,32476
82,4198,True,32476
82,6210,True,32476
82,6212,True,32476
82,13318,True,32476
82,39021,True,32476
82,51552,True,32476
83,3025,True,46922
83,20101,True,46922
84,1856,True,50520
84,1857,True,50520
84,21998,True,50520
88,429,True,31941
88,552,True,31941
88,609,True,31941
88,1339,True,31941
88,1594,True,31941
88,4194,True,31941
88,4535,True,31941
88,4536,True,31941
88,13582,True,31941
88,42510,True,31941
88,42511,True,31941
88,69244,True,31941
89,55208,True,
91,3097,True,
91,8219,True,
91,22539,True,
91,25261,True,
94,787,True,
94,3511,True,
94,4576,True,
94,8258,True,
94,22502,True,
94,22576,True,
94,22581,True,
94,22763,True,
94,22819,True,
94,22870,True,
94,22871,True,
94,45928,True,
94,50264,True,
94,65920,True,
97,13817,True,131601
97,45109,True,131601
97,45110,True,131601
98,4900,True,
98,6465,True,
99,4900,True,84247
99,6465,True,84247
100,2514,True,82899
100,7290,True,82899
100,7291,True,82899
101,1599,True,47724
104,9083,True,59293
106,4117,True,52051
106,9056,True,52051
106,9057,True,52051
106,12240,True,52051
109,6654,True,60674
109,14459,True,60674
109,14461,True,60674
109,56117,True,60674
109,61137,True,60674
109,61138,True,60674
109,64589,True,60674
109,66340,True,60674
113,1599,True,47724
115,4181,True,
115,4357,True,
115,4872,True,
115,4888,True,
115,24305,True,
115,24313,True,
115,24321,True,
115,24329,True,
115,28713,True,
115,28721,True,
115,28729,True,
115,56787,True,
115,65888,True,
115,67529,True,
115,67537,True,
115,67545,True,
116,3363,True,
