Belgium_index,z_index_index,ATC_match,best_z_index_index
31,28671,True,112852
31,28839,True,112852
31,29129,True,112852
31,30478,True,112852
31,36879,True,112852
31,60608,True,112852
31,64839,True,112852
32,29088,True,216526
32,32479,True,216526
32,52938,True,216526
33,29088,True,136913
33,32479,True,136913
33,52938,True,136913
34,29088,True,136913
34,32479,True,136913
34,52938,True,136913
35,29088,True,136913
35,32479,True,136913
35,52938,True,136913
36,29088,True,136913
36,32479,True,136913
36,52938,True,136913
37,10048,True,98957
37,10108,True,98957
37,10168,True,98957
37,10228,True,98957
37,17323,True,98957
37,18122,True,98957
37,18140,True,98957
37,21912,True,98957
38,8330,True,98175
38,8331,True,98175
38,8332,True,98175
38,8333,True,98175
38,15862,True,98175
38,15863,True,98175
38,15864,True,98175
38,17568,True,98175
38,17570,True,98175
38,17572,True,98175
38,17573,True,98175
38,17574,True,98175
38,17575,True,98175
38,23077,True,98175
38,23078,True,98175
38,27414,True,98175
38,27415,True,98175
38,29552,True,98175
38,36724,True,98175
38,36725,True,98175
38,36726,True,98175
38,39511,True,98175
38,39512,True,98175
38,39513,True,98175
38,39744,True,98175
38,42631,True,98175
38,67230,True,98175
38,67231,True,98175
38,67232,True,98175
38,67233,True,98175
38,67234,True,98175
38,67235,True,98175
38,68985,True,98175
38,68986,True,98175
38,68987,True,98175
39,8330,True,98175
39,8331,True,98175
39,8332,True,98175
39,8333,True,98175
39,15862,True,98175
39,15863,True,98175
39,15864,True,98175
39,17568,True,98175
39,17570,True,98175
39,17572,True,98175
39,17573,True,98175
39,17574,True,98175
39,17575,True,98175
39,23077,True,98175
39,23078,True,98175
39,27414,True,98175
39,27415,True,98175
39,29552,True,98175
39,36724,True,98175
39,36725,True,98175
39,36726,True,98175
39,39511,True,98175
39,39512,True,98175
39,39513,True,98175
39,39744,True,98175
39,42631,True,98175
39,67230,True,98175
39,67231,True,98175
39,67232,True,98175
39,67233,True,98175
39,67234,True,98175
39,67235,True,98175
39,68985,True,98175
39,68986,True,98175
39,68987,True,98175
40,8330,True,98183
40,8331,True,98183
40,8332,True,98183
40,8333,True,98183
40,15862,True,98183
40,15863,True,98183
40,15864,True,98183
40,17568,True,98183
40,17570,True,98183
40,17572,True,98183
40,17573,True,98183
40,17574,True,98183
40,17575,True,98183
40,23077,True,98183
40,23078,True,98183
40,27414,True,98183
40,27415,True,98183
40,29552,True,98183
40,36724,True,98183
40,36725,True,98183
40,36726,True,98183
40,39511,True,98183
40,39512,True,98183
40,39513,True,98183
40,39744,True,98183
40,42631,True,98183
40,67230,True,98183
40,67231,True,98183
40,67232,True,98183
40,67233,True,98183
40,67234,True,98183
40,67235,True,98183
40,68985,True,98183
40,68986,True,98183
40,68987,True,98183
41,8330,True,
41,8331,True,
41,8332,True,
41,8333,True,
41,15862,True,
41,15863,True,
41,15864,True,
41,17568,True,
41,17570,True,
41,17572,True,
41,17573,True,
41,17574,True,
41,17575,True,
41,23077,True,
41,23078,True,
41,27414,True,
41,27415,True,
41,29552,True,
41,36724,True,
41,36725,True,
41,36726,True,
41,39511,True,
41,39512,True,
41,39513,True,
41,39744,True,
41,42631,True,
41,67230,True,
41,67231,True,
41,67232,True,
41,67233,True,
41,67234,True,
41,67235,True,
41,68985,True,
41,68986,True,
41,68987,True,
42,8330,True,98191
42,8331,True,98191
42,8332,True,98191
42,8333,True,98191
42,15862,True,98191
42,15863,True,98191
42,15864,True,98191
42,17568,True,98191
42,17570,True,98191
42,17572,True,98191
42,17573,True,98191
42,17574,True,98191
42,17575,True,98191
42,23077,True,98191
42,23078,True,98191
42,27414,True,98191
42,27415,True,98191
42,29552,True,98191
42,36724,True,98191
42,36725,True,98191
42,36726,True,98191
42,39511,True,98191
42,39512,True,98191
42,39513,True,98191
42,39744,True,98191
42,42631,True,98191
42,67230,True,98191
42,67231,True,98191
42,67232,True,98191
42,67233,True,98191
42,67234,True,98191
42,67235,True,98191
42,68985,True,98191
42,68986,True,98191
42,68987,True,98191
43,8330,True,
43,8331,True,
43,8332,True,
43,8333,True,
43,15862,True,
43,15863,True,
43,15864,True,
43,17568,True,
43,17570,True,
43,17572,True,
43,17573,True,
43,17574,True,
43,17575,True,
43,23077,True,
43,23078,True,
43,27414,True,
43,27415,True,
43,29552,True,
43,36724,True,
43,36725,True,
43,36726,True,
43,39511,True,
43,39512,True,
43,39513,True,
43,39744,True,
43,42631,True,
43,67230,True,
43,67231,True,
43,67232,True,
43,67233,True,
43,67234,True,
43,67235,True,
43,68985,True,
43,68986,True,
43,68987,True,
44,8330,True,98205
44,8331,True,98205
44,8332,True,98205
44,8333,True,98205
44,15862,True,98205
44,15863,True,98205
44,15864,True,98205
44,17568,True,98205
44,17570,True,98205
44,17572,True,98205
44,17573,True,98205
44,17574,True,98205
44,17575,True,98205
44,23077,True,98205
44,23078,True,98205
44,27414,True,98205
44,27415,True,98205
44,29552,True,98205
44,36724,True,98205
44,36725,True,98205
44,36726,True,98205
44,39511,True,98205
44,39512,True,98205
44,39513,True,98205
44,39744,True,98205
44,42631,True,98205
44,67230,True,98205
44,67231,True,98205
44,67232,True,98205
44,67233,True,98205
44,67234,True,98205
44,67235,True,98205
44,68985,True,98205
44,68986,True,98205
44,68987,True,98205
45,8330,True,
45,8331,True,
