Name medicinal product,Strength,Pharmaceutical form,Pack Size,Pack ID,Start Date,Presumed End Date,End Date,Reason,Impact,MAH,Authorization number,SP Duration,HUMAN VETERINARY,ATC Code,cleaned_atc,PRK
Acetylcysteine EG,200 mg,"Capsule, hard",30,137374-01,2020-03-13,2020-07-13,2020-07-10,Delay in production,At least three alternatives available,EG SA-NV - BE - Active,BE137374,119.0,HUMAN,R05CB01 - Acetylcysteine,R05CB01,
Acetylcysteine EG,200 mg,"Capsule, hard",30,137374-01,2024-03-01,2024-04-05,2024-04-04,Delay in production,At least three alternative packsizes available,EG SA-NV - BE - Active,BE137374,34.0,HUMAN,R05CB01 - Acetylcysteine,R05CB01,
Acetylcysteine EG,600 mg,Effervescent tablet,60,318586-03,2024-02-21,2024-04-08,2024-03-15,Delay in production,At least three alternative packsizes available,EG SA-NV - BE - Active,BE318586,23.0,HUMAN,R05CB01 - Acetylcysteine,R05CB01,25038
Acetylcysteine EG,200 mg,Granules for oral solution,30 x 3 g,178263-01,2020-01-06,2020-09-04,2020-08-28,Delay in production,At least three alternatives available,EG SA-NV - BE - Active,BE178263,235.0,HUMAN,R05CB01 - Acetylcysteine,R05CB01,83410
Acetylcysteine EG,600 mg,Granules for oral solution,30 x 3 g,178245-03,2023-07-24,2023-12-11,2023-10-12,Delay in production,At least three alternative packsizes available,EG SA-NV - BE - Active,BE178245,80.0,HUMAN,R05CB01 - Acetylcysteine,R05CB01,34789
Acetylcysteine EG,600 mg,Granules for oral solution,60 x 3 g,178245-04,2023-01-09,2023-09-29,2023-09-25,Delay in production,At least three alternative packsizes available,EG SA-NV - BE - Active,BE178245,259.0,HUMAN,R05CB01 - Acetylcysteine,R05CB01,
Acetylcysteine EG,600 mg,Granules for oral solution,60 x 3 g,178245-04,2023-11-15,2024-01-19,2024-01-12,Delay in production,At least three alternative packsizes available,EG SA-NV - BE - Active,BE178245,58.0,HUMAN,R05CB01 - Acetylcysteine,R05CB01,
Acetylcysteine EG,600 mg,Granules for oral solution,60 x 3 g,178245-04,2024-02-19,2024-03-22,2024-03-15,Delay in production,At least three alternative packsizes available,EG SA-NV - BE - Active,BE178245,25.0,HUMAN,R05CB01 - Acetylcysteine,R05CB01,
Acetylcysteine EG,600 mg,Granules for oral solution,10 x 3 g,178245-01,2023-07-24,2023-12-15,2023-11-13,Delay in production,At least three alternative packsizes available,EG SA-NV - BE - Active,BE178245,112.0,HUMAN,R05CB01 - Acetylcysteine,R05CB01,
Acetylcysteine EG,600 mg,Granules for oral solution,30 x 3 g,178245-03,2023-11-16,2024-01-18,2024-01-12,Delay in production,At least three alternative packsizes available,EG SA-NV - BE - Active,BE178245,57.0,HUMAN,R05CB01 - Acetylcysteine,R05CB01,34789
Acetylsalicylic Acid Panpharma,500 mg,Powder and solvent for solution for injection,6 x 500 mg + 6 x 5 ml,042201-02,2021-09-16,2022-01-04,2021-12-15,Delay in the release of the end product,Adaptation of the treatment possible,Panmedica S.A.S. - FR - Active,BE042201,90.0,HUMAN,N02BA01 - Acetylsalicylic Acid,N02BA01,2895
Acetylsalicylic Acid Panpharma,500 mg,Powder and solvent for solution for injection,6 x 500 mg + 6 x 5 ml,042201-02,2022-01-06,2022-03-14,2022-03-11,Other reason,Adaptation of the treatment possible,Panmedica S.A.S. - FR - Active,BE042201,64.0,HUMAN,N02BA01 - Acetylsalicylic Acid,N02BA01,2895
