Netherlands_index,z_index_index,ATC_match,best_z_index_index
37,6574,True,49905
37,26533,True,49905
37,28506,True,49905
37,28508,True,49905
37,44234,True,49905
37,59306,True,49905
37,62623,True,49905
37,68404,True,49905
38,1462,True,63169
38,1463,True,63169
38,1464,True,63169
38,36923,True,63169
39,535,True,34215
39,1191,True,34215
39,1285,True,34215
39,1878,True,34215
39,1879,True,34215
39,1880,True,34215
39,1881,True,34215
39,2973,True,34215
39,3522,True,34215
39,6178,True,34215
39,10032,True,34215
39,13280,True,34215
39,13398,True,34215
39,13399,True,34215
39,13400,True,34215
39,13401,True,34215
39,13402,True,34215
39,13403,True,34215
39,17655,True,34215
39,18280,True,34215
39,23799,True,34215
39,42061,True,34215
39,69364,True,34215
40,7032,True,85162
40,9089,True,85162
40,9090,True,85162
40,9091,True,85162
40,21900,True,85162
40,21901,True,85162
40,21902,True,85162
40,26665,True,85162
40,28754,True,85162
41,517,True,229008
41,8492,True,229008
41,8493,True,229008
41,8494,True,229008
41,11728,True,229008
41,11729,True,229008
41,11730,True,229008
41,15853,True,229008
41,20603,True,229008
41,20604,True,229008
41,20605,True,229008
41,30203,True,229008
42,44709,True,198412
42,44710,True,198412
42,44711,True,198412
42,44712,True,198412
42,58322,True,198412
42,58323,True,198412
43,2467,True,50768
43,2468,True,50768
43,2469,True,50768
43,3221,True,50768
43,8450,True,50768
43,8451,True,50768
43,8452,True,50768
43,8453,True,50768
43,9721,True,50768
43,26083,True,50768
43,40308,True,50768
43,69381,True,50768
43,69382,True,50768
43,71072,True,50768
44,535,True,86673
44,1191,True,86673
44,1285,True,86673
44,1878,True,86673
44,1879,True,86673
44,1880,True,86673
44,1881,True,86673
44,2973,True,86673
44,3522,True,86673
44,6178,True,86673
44,10032,True,86673
44,13280,True,86673
44,13398,True,86673
44,13399,True,86673
44,13400,True,86673
44,13401,True,86673
44,13402,True,86673
44,13403,True,86673
44,17655,True,86673
44,18280,True,86673
44,23799,True,86673
44,42061,True,86673
44,69364,True,86673
47,226,True,18724
47,635,True,18724
47,10009,True,18724
47,11392,True,18724
47,18554,True,18724
47,18556,True,18724
47,18558,True,18724
48,43867,True,146684
48,43868,True,146684
48,43869,True,146684
48,43870,True,146684
48,43871,True,146684
49,466,True,40010
49,659,True,40010
49,928,True,40010
49,1189,True,40010
49,3166,True,40010
49,5059,True,40010
49,6602,True,40010
49,19939,True,40010
49,22114,True,40010
49,23136,True,40010
49,60604,True,40010
50,5871,True,1716
51,1317,True,18120
51,2498,True,18120
51,2611,True,18120
51,2612,True,18120
51,2613,True,18120
51,2640,True,18120
51,2734,True,18120
51,4835,True,18120
51,5750,True,18120
51,8335,True,18120
51,15146,True,18120
51,15147,True,18120
