Romania_index,z_index_index,ATC_match,best_z_index_index
157,43559,True,
157,50650,True,
157,50651,True,
157,63216,True,
157,73956,True,
159,1304,True,
159,1305,True,
159,1306,True,
159,2421,True,
159,3742,True,
159,3743,True,
159,4531,True,
159,4532,True,
159,6425,True,
159,25866,True,
159,39174,True,
159,54001,True,
159,54580,True,
159,54581,True,
159,54582,True,
159,54583,True,
159,55315,True,
159,57722,True,
159,57723,True,
159,60166,True,
159,64869,True,
159,69203,True,
159,69397,True,
159,72440,True,
161,605,True,17760
161,703,True,17760
161,1313,True,17760
161,1883,True,17760
161,3116,True,17760
161,3874,True,17760
161,5915,True,17760
161,13567,True,17760
161,22818,True,17760
161,32783,True,17760
161,43219,True,17760
161,43559,True,17760
161,50650,True,17760
161,50651,True,17760
161,63216,True,17760
161,73956,True,17760
166,12457,True,85448
166,18141,True,85448
167,19565,True,101877
168,12488,True,24082
168,12489,True,24082
168,12490,True,24082
168,12535,True,24082
168,27385,True,24082
168,52666,True,24082
168,54141,True,24082
169,1317,True,
169,2498,True,
169,2611,True,
169,2612,True,
169,2613,True,
169,2640,True,
169,2734,True,
169,4835,True,
169,5750,True,
169,8335,True,
169,15146,True,
169,15147,True,
169,15927,True,
169,16303,True,
169,20544,True,
169,20573,True,
169,23590,True,
169,24390,True,
169,28396,True,
169,29836,True,
169,30490,True,
169,35924,True,
169,36780,True,
169,54370,True,
169,73936,True,
170,3692,True,26646
170,3693,True,26646
170,3694,True,26646
170,6453,True,26646
170,28628,True,26646
171,3692,True,26638
171,3693,True,26638
171,3694,True,26638
171,6453,True,26638
171,28628,True,26638
173,8307,True,74934
173,25362,True,74934
178,13620,True,95265
178,13625,True,95265
179,3692,True,26611
179,3693,True,26611
179,3694,True,26611
179,6453,True,26611
179,28628,True,26611
180,3692,True,26646
180,3693,True,26646
180,3694,True,26646
180,6453,True,26646
180,28628,True,26646
182,1845,True,60062
182,1846,True,60062
182,1847,True,60062
182,17821,True,60062
182,17822,True,60062
182,20807,True,60062
182,22190,True,60062
182,28032,True,60062
182,54111,True,60062
182,54112,True,60062
182,54113,True,60062
182,54114,True,60062
182,54115,True,60062
182,54116,True,60062
182,71787,True,60062
182,74363,True,60062
183,1673,True,198730
183,20532,True,198730
183,45425,True,198730
183,72314,True,198730
189,21317,True,
189,46015,True,
190,27720,True,
196,1309,True,5495
196,1310,True,5495
196,1378,True,5495
196,3481,True,5495
196,4818,True,5495
196,4819,True,5495
196,5886,True,5495
196,5887,True,5495
196,5888,True,5495
196,5889,True,5495
196,5913,True,5495
196,10394,True,5495
196,10395,True,5495
196,10396,True,5495
196,10398,True,5495
196,12934,True,5495
196,12936,True,5495
196,12938,True,5495
196,13583,True,5495
196,20152,True,5495
196,20153,True,5495
196,28036,True,5495
196,38171,True,5495
196,70585,True,5495
196,70601,True,5495
196,70602,True,5495
196,70839,True,5495
197,1309,True,5495
197,1310,True,5495
197,1378,True,5495
197,3481,True,5495
197,4818,True,5495
197,4819,True,5495
197,5886,True,5495
197,5887,True,5495
197,5888,True,5495
197,5889,True,5495
197,5913,True,5495
197,10394,True,5495
197,10395,True,5495
197,10396,True,5495
197,10398,True,5495
197,12934,True,5495
197,12936,True,5495
197,12938,True,5495
197,13583,True,5495
197,20152,True,5495
197,20153,True,5495
197,28036,True,5495
197,38171,True,5495
197,70585,True,5495
197,70601,True,5495
197,70602,True,5495
197,70839,True,5495
201,4704,True,
201,4705,True,
201,4706,True,
201,4707,True,
201,44699,True,
209,6034,True,79553
209,24029,True,79553
209,25189,True,79553
209,72315,True,79553
211,1317,True,
211,2498,True,
211,2611,True,
211,2612,True,
211,2613,True,
211,2640,True,
211,2734,True,
211,4835,True,
211,5750,True,
211,8335,True,
211,15146,True,
211,15147,True,
211,15927,True,
211,16303,True,
211,20544,True,
211,20573,True,
211,23590,True,
211,24390,True,
211,28396,True,
211,29836,True,
211,30490,True,
211,35924,True,
211,36780,True,
211,54370,True,
211,73936,True,
212,16352,True,
213,5995,True,79227
213,6003,True,79227
213,20884,True,79227
214,5995,True,79219
214,6003,True,79219
214,20884,True,79219
215,29088,True,136913
215,32479,True,136913
215,52938,True,136913
219,14698,True,
219,18129,True,
219,30749,True,
219,35015,True,
219,35034,True,
219,35053,True,
219,64254,True,
219,64255,True,
219,64256,True,
222,2349,True,
222,2350,True,
223,13620,True,95273
223,13625,True,95273
224,13620,True,95265
224,13625,True,95265
227,9032,True,214213
227,9040,True,214213
227,9048,True,214213
227,57374,True,214213
228,9032,True,214191
228,9040,True,214191
228,9048,True,214191
228,57374,True,214191
231,1304,True,5223
231,1305,True,5223
231,1306,True,5223
231,2421,True,5223
231,3742,True,5223
231,3743,True,5223
231,4531,True,5223
231,4532,True,5223
231,6425,True,5223
231,25866,True,5223
231,39174,True,5223
231,54001,True,5223
231,54580,True,5223
231,54581,True,5223
231,54582,True,5223
231,54583,True,5223
231,55315,True,5223
231,57722,True,5223
231,57723,True,5223
231,60166,True,5223
231,64869,True,5223
231,69203,True,5223
231,69397,True,5223
231,72440,True,5223
233,6553,True,80934
233,18134,True,80934
233,52569,True,80934
235,429,True,
235,552,True,
235,609,True,
235,1339,True,
235,1594,True,
235,4194,True,
235,4535,True,
235,4536,True,
235,13582,True,
235,42510,True,
235,42511,True,
235,69244,True,
237,55207,True,210307
239,1304,True,
239,1305,True,
239,1306,True,
239,2421,True,
239,3742,True,
239,3743,True,
239,4531,True,
239,4532,True,
239,6425,True,
239,25866,True,
239,39174,True,
239,54001,True,
239,54580,True,
239,54581,True,
239,54582,True,
239,54583,True,
239,55315,True,
239,57722,True,
239,57723,True,
239,60166,True,
239,64869,True,
239,69203,True,
239,69397,True,
239,72440,True,
256,708,True,50431
256,991,True,50431
256,3644,True,50431
256,3646,True,50431
256,4200,True,50431
256,4201,True,50431
256,4202,True,50431
256,6607,True,50431
256,45481,True,50431
256,45482,True,50431
256,46669,True,50431
257,29088,True,100846
257,32479,True,100846
257,52938,True,100846
258,4117,True,90182
258,9056,True,90182
258,9057,True,90182
258,12240,True,90182
259,2981,True,58394
259,2982,True,58394
259,2983,True,58394
259,6551,True,58394
259,21891,True,58394
259,25041,True,58394
260,2981,True,58408
260,2982,True,58408
260,2983,True,58408
260,6551,True,58408
260,21891,True,58408
260,25041,True,58408
261,9260,True,85936
262,28945,True,212180
262,40441,True,212180
263,1304,True,
263,1305,True,
263,1306,True,
263,2421,True,
263,3742,True,
263,3743,True,
263,4531,True,
263,4532,True,
263,6425,True,
263,25866,True,
263,39174,True,
263,54001,True,
263,54580,True,
263,54581,True,
263,54582,True,
263,54583,True,
263,55315,True,
263,57722,True,
263,57723,True,
263,60166,True,
263,64869,True,
263,69203,True,
263,69397,True,
263,72440,True,
265,9127,True,77100
265,9128,True,77100
265,14750,True,77100
266,10416,True,87300
266,10417,True,87300
266,49787,True,87300
267,3184,True,60186
267,28046,True,60186
268,3829,True,
269,10416,True,87300
269,10417,True,87300
269,49787,True,87300
270,554,True,33561
270,555,True,33561
270,556,True,33561
270,558,True,33561
270,647,True,33561
