France_index,z_index_index,ATC_match,best_z_index_index
154,4833,True,
154,6760,True,
155,1548,True,
155,1569,True,
155,2198,True,
155,2219,True,
155,2240,True,
155,10734,True,
155,10759,True,
155,10784,True,
155,10809,True,
155,10843,True,
155,10870,True,
155,10891,True,
155,10918,True,
155,10939,True,
155,10966,True,
155,10987,True,
155,13285,True,
155,13637,True,
155,14817,True,
155,14842,True,
155,14867,True,
155,14892,True,
155,14912,True,
155,14932,True,
155,14957,True,
155,14982,True,
155,17465,True,
155,17493,True,
155,18576,True,
155,28541,True,
155,32590,True,
155,38409,True,
155,38457,True,
155,38484,True,
155,44211,True,
155,44548,True,
155,44568,True,
155,44593,True,
155,44618,True,
155,45322,True,
155,45640,True,
155,45667,True,
155,45694,True,
155,45721,True,
155,45748,True,
155,45776,True,
155,45804,True,
155,46033,True,
155,46054,True,
155,59337,True,
155,63156,True,
156,1311,True,
156,1312,True,
156,3141,True,
156,3177,True,
156,6193,True,
156,8467,True,
156,17591,True,
156,46913,True,
156,58294,True,
156,58295,True,
156,60200,True,
156,65533,True,
156,67854,True,
157,3560,True,
157,3585,True,
157,3610,True,
157,21194,True,
157,21219,True,
157,21244,True,
157,21269,True,
157,24733,True,
157,24779,True,
157,25052,True,
157,25077,True,
158,1346,True,
158,1347,True,
158,1366,True,
158,1367,True,
158,1368,True,
158,1369,True,
158,28425,True,
158,52308,True,
158,52650,True,
158,56732,True,
158,58231,True,
158,58232,True,
158,58268,True,
158,68292,True,
158,68332,True,
159,399,True,
159,7995,True,
159,7996,True,
159,7997,True,
159,7998,True,
159,8338,True,
159,8339,True,
159,8340,True,
159,17402,True,
159,17403,True,
159,33264,True,
159,59602,True,
159,69685,True,
159,72722,True,
160,1088,True,
160,1108,True,
160,1128,True,
160,1148,True,
160,1168,True,
160,2984,True,
160,3004,True,
160,3222,True,
160,3242,True,
160,3262,True,
160,3282,True,
160,3302,True,
160,3322,True,
160,3442,True,
160,4310,True,
160,6317,True,
160,7843,True,
160,8847,True,
160,8907,True,
160,9745,True,
160,9765,True,
160,9785,True,
160,9805,True,
160,9825,True,
160,9845,True,
160,9865,True,
160,9885,True,
160,9905,True,
160,9925,True,
161,1346,True,
161,1347,True,
161,1366,True,
