Italy_index,z_index_index,ATC_match,best_z_index_index
99,3837,True,58181
99,20074,True,58181
100,927,True,37206
101,299,True,27359
101,489,True,27359
101,4290,True,27359
101,26013,True,27359
102,1349,True,33707
102,1350,True,33707
102,4022,True,33707
102,4023,True,33707
102,19151,True,33707
102,19168,True,33707
102,32148,True,33707
102,34798,True,33707
102,34799,True,33707
102,67443,True,33707
102,67456,True,33707
103,1349,True,43087
103,1350,True,43087
103,4022,True,43087
103,4023,True,43087
103,19151,True,43087
103,19168,True,43087
103,32148,True,43087
103,34798,True,43087
103,34799,True,43087
103,67443,True,43087
103,67456,True,43087
104,29187,True,124680
104,29188,True,124680
104,29189,True,124680
104,29190,True,124680
104,29191,True,124680
105,29187,True,124699
105,29188,True,124699
105,29189,True,124699
105,29190,True,124699
105,29191,True,124699
106,29187,True,124664
106,29188,True,124664
106,29189,True,124664
106,29190,True,124664
106,29191,True,124664
107,29187,True,124672
107,29188,True,124672
107,29189,True,124672
107,29190,True,124672
107,29191,True,124672
108,908,True,
108,23808,True,
108,24615,True,
108,25861,True,
108,29479,True,
108,29480,True,
108,30573,True,
108,30812,True,
108,30813,True,
108,30814,True,
108,32931,True,
108,34119,True,
108,34382,True,
108,37071,True,
108,42517,True,
108,46712,True,
108,59543,True,
109,908,True,
109,23808,True,
109,24615,True,
109,25861,True,
109,29479,True,
109,29480,True,
109,30573,True,
109,30812,True,
109,30813,True,
109,30814,True,
109,32931,True,
109,34119,True,
109,34382,True,
109,37071,True,
109,42517,True,
109,46712,True,
109,59543,True,
110,908,True,
110,23808,True,
110,24615,True,
110,25861,True,
110,29479,True,
110,29480,True,
110,30573,True,
110,30812,True,
110,30813,True,
110,30814,True,
110,32931,True,
110,34119,True,
110,34382,True,
110,37071,True,
110,42517,True,
110,46712,True,
110,59543,True,
111,908,True,
111,23808,True,
111,24615,True,
111,25861,True,
111,29479,True,
111,29480,True,
111,30573,True,
111,30812,True,
111,30813,True,
111,30814,True,
111,32931,True,
111,34119,True,
111,34382,True,
111,37071,True,
111,42517,True,
111,46712,True,
111,59543,True,
115,1331,True,
115,9298,True,
115,9299,True,
115,15720,True,
115,23105,True,
115,24455,True,
115,25862,True,
115,29305,True,
115,30810,True,
115,35363,True,
115,36934,True,
115,65545,True,
117,3716,True,85499
117,8462,True,85499
117,14748,True,85499
117,15624,True,85499
118,3716,True,85499
118,8462,True,85499
118,14748,True,85499
118,15624,True,85499
119,13980,True,139254
119,13990,True,139254
119,14000,True,139254
119,18633,True,139254
119,18643,True,139254
119,18653,True,139254
119,21022,True,139254
119,23137,True,139254
119,23147,True,139254
119,23157,True,139254
119,23167,True,139254
119,23177,True,139254
119,23187,True,139254
119,25282,True,139254
119,25292,True,139254
119,25302,True,139254
119,25312,True,139254
119,28428,True,139254
119,28841,True,139254
119,28851,True,139254
119,29319,True,139254
119,29329,True,139254
119,29339,True,139254
119,29349,True,139254
119,29359,True,139254
119,29369,True,139254
119,29379,True,139254
119,29413,True,139254
119,29444,True,139254
119,29454,True,139254
119,34926,True,139254
119,34937,True,139254
119,34947,True,139254
119,34957,True,139254
119,34967,True,139254
119,34977,True,139254
119,34987,True,139254
