Nome medicinale,Codice AIC,Principio attivo,Forma farmaceutica e dosaggio,Titolare AIC,Data inizio,Fine presunta,Equivalente,Motivazioni,Suggerimenti/Indicazioni AIFA,Nota AIFA,Classe di rimborsabilit�,Codice ATC,cleaned_atc,PRK
LASONIL ANTINFIAMMATORIO  E ANTIREUMATICO,32790077,NAPROXENE SODICO,"""660 MG COMPRESSA A RILASCIO MODIFICATO"" 12 COMPRESSE",BAYER S.P.A.,31/01/2022,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,M01AE02,M01AE02,
LASTICOM,27673045,AZELASTINA CLORIDRATO,"""0,5MG/ML COLLIRIO SOLUZIONE"" 1 FLACONE DA 6 ML",MEDA PHARMA GMBH & CO. KG,01/03/2021,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,S01GX07,S01GX07,216240
LATANOPROST E TIMOLOLO EG,41504010,LATANOPROST + TIMOLOLO,"""50 MICROGRAMMI/ML + 5 MG/ML COLLIRIO, SOLUZIONE"" 1 FLACONE LDPE 2,5 ML",EG S.P.A.,01/02/2025,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,S01ED51,S01ED51,212121
LATANOPROST E TIMOLOLO TEVA ITALIA,41586013,LATANOPROST + TIMOLOLO,"""50 MICROGRAMMI/ML + 5 MG/ML COLLIRIO, SOLUZIONE"" 1 FLACONE LDPE DA 2,5 ML CON CONTAGOCCE",TEVA ITALIA S.R.L.,19/01/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,S01ED51,S01ED51,212121
LATANOPROST E TIMOLOLO ZENTIVA,40822013,LATANOPROST + TIMOLOLO,"""50 MICROGRAMMI/ML + 5 MG/ML COLLIRIO, SOLUZIONE"" 1 FLACONE IN LDPE DA 2,5 ML CON CONTAGOCCE",ZENTIVA ITALIA S.R.L.,17/07/2023,,S�,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,S01ED51,S01ED51,212121
LATANOPROST SIFI,39972017,LATANOPROST,"""0,005% COLLIRIO, SOLUZIONE"" 1 FLACONE CONTAGOCCE DA 2,5 ML",SIFI S.P.A.,11/08/2023,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,S01EE01,S01EE01,212091
LATANOPROST ZENTIVA,39974011,LATANOPROST,"""0,005% COLLIRIO, SOLUZIONE"" 1 FLACONE CONTAGOCCE DA 2,5 ML",ZENTIVA ITALIA S.R.L.,30/11/2022,,S�,Problemi produttivi: forniture discontinue,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,S01EE01,S01EE01,212091
LATATIM,40871016,LATANOPROST + TIMOLOLO,"""50 MICROGRAMMI/ML + 5 MG/ML COLLIRIO, SOLUZIONE"" 1 FLACONE LDPE 2,5 ML",SIFI S.P.A.,22/01/2022,,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,S01ED51,S01ED51,212121
LATTULAC,34206058,LATTULOSIO,""" 67,0 G/100 ML SCIROPPO "" 40 BUSTINE DA 15 ML",ALFASIGMA S.P.A.,01/06/2018,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,A06AD11,A06AD11,892
LATTULAC,34206045,LATTULOSIO,""" 67,0 G/100 ML SCIROPPO "" 20 BUSTINE DA 15 ML",ALFASIGMA S.P.A.,01/06/2018,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,A06AD11,A06AD11,892
LATTULAC,34206033,LATTULOSIO,""" 67,0 G/100 ML SCIROPPO "" 10 BUSTINE DA 15 ML",ALFASIGMA S.P.A.,01/06/2018,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,A06AD11,A06AD11,892
LATTULAC EPS,30727010,LATTULOSIO,"""66,7 G/100ML SCIROPPO"" FLACONE DA 180 ML",ALFASIGMA S.P.A.,01/06/2018,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A06AD11,A06AD11,892
LATTULAC EPS,30727022,LATTULOSIO,"""10 G GRANULATO PER SOLUZIONE ORALE"" 20 BUSTINE",ALFASIGMA S.P.A.,01/06/2018,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A06AD11,A06AD11,
