Nome medicinale,Codice AIC,Principio attivo,Forma farmaceutica e dosaggio,Titolare AIC,Data inizio,Fine presunta,Equivalente,Motivazioni,Suggerimenti/Indicazioni AIFA,Nota AIFA,Classe di rimborsabilit�,Codice ATC,cleaned_atc,PRK
ATORVASTATINA PENSA PHARMA,50704067,ATORVASTATINA CALCIO TRIIDRATO,"""20 MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE IN BLISTER AL/AL divisibili per dose unitaria",Towa Pharmaceutical S.p.A.,01/02/2025,30/06/2025,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,C10AA05,C10AA05,98612
ATORVASTATINA SUN,40678245,ATORVASTATINA,"""80 MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE IN BLISTER OPA/AL/PE-HDPE/AL",SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,10/12/2013,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,C10AA05,C10AA05,98639
ATORVASTATINA SUN,40678171,ATORVASTATINA,"""40 MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE IN BLISTER OPA/AL/PE-HDPE/AL",SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,31/07/2014,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,C10AA05,C10AA05,98620
ATORVASTATINA SUN,40678106,ATORVASTATINA,"""20 MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE IN BLISTER OPA/AL/PE-HDPE/AL",SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,31/05/2014,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,C10AA05,C10AA05,98612
ATORVASTATINA SUN,40678031,ATORVASTATINA,"""10 MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE IN BLISTER OPA/AL/PE-HDPE/AL",SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,19/07/2013,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,C10AA05,C10AA05,98604
ATORVASTATINA VIATRIS,41443197,ATORVASTATINA,"""10 MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE IN BLISTER PA/AL/PVC-AL",VIATRIS PHARMA S.R.L.,19/12/2024,,S�,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,C10AA05,C10AA05,
ATORVASTATINA ZENTIVA ITALIA,43009176,ATORVASTATINA,"""20 MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE IN BLISTER OPA/AL/PVC/AL",ZENTIVA ITALIA S.R.L.,30/06/2023,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,C10AA05,C10AA05,98612
ATORVASTATINA ZENTIVA ITALIA,43009291,ATORVASTATINA,"""40 MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE IN BLISTER OPA/AL/PVC/AL",ZENTIVA ITALIA S.R.L.,31/08/2023,,S�,Problemi produttivi: forniture discontinue,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,C10AA05,C10AA05,98620
ATOSIBAN SUN,42916015,ATOSIBAN ACETATO,6.75MG/0.9ML - SOLUZIONE INIETTABILE (PREPARAZIONE INIETTABILE) - VIA ENDOVENOSA - FLACONCINO (VETRO) - 0.9 ML - 1 FLACONCINO,SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,28/02/2023,,S�,Elevata richiesta/problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,G02CX01,G02CX01,52582
ATOSIBAN SUN,42916027,ATOSIBAN ACETATO,37.5MG/5ML - CONCENTRATO PER SOLUZIONE PER INFUSIONE ENDOVENOSA (CONCENTRATO STERILE) - VIA ENDOVENOSA - FLACONCINO (VETRO) - 5ML- 1 FLACONCINO,SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,16/07/2021,,S�,"Ridotta disponibilit� per forniture discontinue:
 distribuzione contingentata",Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,G02CX01,G02CX01,52590
ATOVAQUONE E PROGUANILE MYLAN GENERICS,40697031,ATOVAQUONE + PROGUANIL CLORIDRATO,"""250 MG/100 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN BLISTER PVC/PVDC-AL",MYLAN S.P.A.,09/09/2024,,S�,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,P01BB51,P01BB51,54771
ATRIANCE,38116012,NELARABINA,"""5 MG/ML SOLUZIONE PER INFUSIONE - USO ENDOVENOSO FLACONCINO (VETRO)"" 50 ML 6 FLACONCINI",sandoz pharmaceuticals d.d.,10/06/2021,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L01BB07,L01BB07,85030
ATROCOM,45784042,ESTRIOLO,"""0,03 MG OVULI"" 30 OVULI IN STRIP DI ALLUMINIO/LAMINATO PE",FARMITALIA INDUSTRIA CHIMICO FARMACEUTICA S.R.L.,31/03/2023,,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,G03CA04,G03CA04,
AUGMENTIN,26089122,ACIDO CLAVULANICO + AMOXICILLINA,�bambini 400 mg/57 mg/5 ml polvere per  sospensione orale (gusto fragola)� flacone da 70 ml con cucchiaino dosatore;,GLAXOSMITHKLINE S.P.A.,20/07/2021,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,J01CR02,J01CR02,
AUGMENTIN,26089110,ACIDO CLAVULANICO + AMOXICILLINA,�bambini 400 mg/57 mg/5 ml polvere per  sospensione orale (gusto fragola)� flacone da 35 ml con siringa dosatrice;,GLAXOSMITHKLINE S.P.A.,31/07/2021,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,J01CR02,J01CR02,
AUGMENTIN,26089134,ACIDO CLAVULANICO + AMOXICILLINA,�bambini 400 mg/57 mg/5 ml polvere per  sospensione orale (gusto fragola)� flacone da 140 ml con cucchiaino dosatore;,GLAXOSMITHKLINE S.P.A.,15/12/2021,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,J01CR02,J01CR02,
AUGMENTIN,26089514,ACIDO CLAVULANICO + AMOXICILLINA,�bambini 400 mg/57 mg/5 ml polvere per  sospensione orale (aroma frutti  misti)�  1  flacone  da  140  ml  con  cucchiaio dosatore.,GLAXOSMITHKLINE S.P.A.,31/05/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,Disponibile confezione sostitutiva AIC 026089488 (a partire dal 08/07/2024),A TOTALE CARICO DEL SSN.,J01CR02,J01CR02,
AUGMENTIN,26089502,ACIDO CLAVULANICO + AMOXICILLINA,"""bambini 400 mg/57 mg/5 ml polvere per  sospensione orale (aroma  frutti  misti)�  1  flacone  da  70  ml  con  cucchiaio dosatore;",GLAXOSMITHKLINE S.P.A.,19/06/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,Disponibile confezione sostitutiva AIC 026089476 (a partire dal 20/05/2024),A TOTALE CARICO DEL SSN.,J01CR02,J01CR02,
AVAXIM,33247053,VACCINO ANTIEPATITE A,"""0,5 ML SOSPENSIONE INIETTABILE"" 1 SIRINGA PRERIEMPITA CON 2 AGHI SEPARATI",SANOFI WINTHROP INDUSTRIE,30/04/2023,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,disponibile confezione sostitutiva con AIC 033247040,A TOTALE CARICO DELL'ASSISTITO,J07BC02,J07BC02,62030
AXERAMIS,37639010,CETIRIZINA DICLORIDRATO,""" 10 MG COMPRESSE RIVESTITE CON FILM "" 20 COMPRESSE DIVISIBILI",DOMPE' FARMACEUTICI S.P.A.,01/10/2022,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,R06AE07,R06AE07,26298
AXERAMIS,37639022,CETIRIZINA DICLORIDRATO,""" 10 MG/ML GOCCE ORALI, SOLUZIONE "" FLACONE DA 20 ML",DOMPE' FARMACEUTICI S.P.A.,01/10/2022,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,R06AE07,R06AE07,
AYRDOZELIA,39249077,LERCANIDIPINA CLORIDRATO,"""10 MG COMPRESSE RIVESTITE CON FILM"" 28 COMPRESSE IN BLISTER PVDC/AL",DAY ZERO EHF,21/02/2023,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,C08CA13,C08CA13,48100
AZACITIDINA ACCORD,48524019,AZACITIDINA,25 MG/ML - POLVERE PER SOSPENSIONE INIETTABILE - USO SOTTOCUTANEO - FLACONE (VETRO) 100 MG - 1 FLACONE,"ACCORD HEALTHCARE, S.L.U.",01/10/2023,,S�,"Ridotta disponibilit� per forniture discontinue:
 distribuzione contingentata",Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L01BC07,L01BC07,
AZACITIDINA AUROBINDO,50447010,AZACITIDINA,"""25 mg/ml POLVERE PER SOSPENSIONE INIETTABILE"" 1 FLACONCINO IN VETRO DA 100 MG",Eugia Pharma (Malta) Limited,03/01/2025,,S�,Problemi regolatori,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L01BC07,L01BC07,88692
AZACITIDINA TILLOMED,48209011,AZACITIDINA,"""25 MG/ML POLVERE PER SOSPENSIONE INIETTABILE"" 1 FLACONCINO IN VETRO DA 30 ML",TILLOMED ITALIA SRL,01/01/2025,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L01BC07,L01BC07,99600
AZACITIDINA ZENTIVA,47497019,AZACITIDINA,"""25 MG/ML POLVERE PER SOSPENSIONE INIETTABILE"" 1 FLACONCINO IN VETRO DA 100 MG",ZENTIVA ITALIA S.R.L.,15/12/2022,,S�,Problemi produttivi: forniture discontinue,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L01BC07,L01BC07,88692
AZITROMICINA EG STADA,39852052,AZITROMICINA,""" 200MG/5ML POLVERE PER SOSPENSIONE ORALE "" 1 FLACONE HDPE DA 1500 MG POLVERE + SIRINGA DOSATRICE",EG S.P.A.,01/07/2022,,S�,Cessata commercializzazione definitiva,Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero,,A TOTALE CARICO DEL SSN.,J01FA10,J01FA10,115010
AZITROMICINA PFIZER,27897026,AZITROMICINA DIIDRATO,"""200 MG/5 ML POLVERE PER SOSPENSIONE ORALE"" 1 FLACONE DA 1500 MG",PFIZER ITALIA S.R.L.,30/09/2025,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,J01FA10,J01FA10,115010
AZITROMICINA PFIZER,27897040,AZITROMICINA DIIDRATO,"""500 MG COMPRESSE RIVESTITE CON FILM"" 3 COMPRESSE",PFIZER ITALIA S.R.L.,30/06/2025,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,J01FA10,J01FA10,115002
AZITROMICINA ZENTIVA,38667022,AZITROMICINA,""" 500 MG COMPRESSE RIVESTITE CON FILM "" 3 COMPRESSE",ZENTIVA ITALIA S.R.L.,18/01/2022,,S�,Problemi produttivi: forniture discontinue,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,J01FA10,J01FA10,115002
AZOMYR,35203090,DESLORATADINA,5 MG 20 COMPRESSE RIVESTITE CON FILM USO ORALE,N.V. ORGANON,14/07/2014,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,R06AX27,R06AX27,59021
BACAMPICILLINA EUROGENERICI,34473013,BACAMPICILLINA CLORIDRATO,"""1200 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE",K24 PHARMACEUTICALS S.R.L.,27/05/2024,,No,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,J01CA06,J01CA06,
BACTIGRAM,34619015,CEFACLORO,"""250 MG/5 ML GRANULATO PER SOSPENSIONE ORALE"" FLACONE 100 ML",AESCULAPIUS FARMACEUTICI SRL,01/04/2023,,S�,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,J01DC04,J01DC04,
BACTIGRAM,34619039,CEFACLORO,"""750 MG COMPRESSE A RILASCIO MODIFICATO"" 6 COMPESSE",AESCULAPIUS FARMACEUTICI SRL,31/03/2024,,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,J01DC04,J01DC04,
BALCOGA,44675027,SILDENAFIL,"""20 MG COMPRESSE RIVESTITE CON FILM"" 90 COMPRESSE IN BLISTER PVC/ACLAR/AL",SANDOZ GMBH,01/07/2026,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,G04BE03,G04BE03,80365
BASALFLEX,35695016,AMINOACIDI + CALCIO + ELETTROLITI + GLUCOSIO (DESTROSIO),5 SACCHE DA 1000 ML,B. BRAUN MELSUNGEN AG,18/11/2022,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,B05BA10,B05BA10,88048
BAXOGAR,40501025,ACIDO IBANDRONICO,"""150 MG COMPRESSE RIVESTITE CON FILM"" 3 COMPRESSE IN BLISTER PA/AL/PVC-AL",PHARMACARE S.R.L.,25/04/2022,,No,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,M05BA06,M05BA06,79685
BECHILAR,18130029,DESTROMETORFANO BROMIDRATO + DESTROMETORFANO/AMMONIO CLORURO,"""3 MG/ML SCIROPPO""FLACONE 100 ML",MONTEFARMACO OTC S.P.A.,01/12/2024,31/07/2025,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,R05DA09,R05DA09,
BECLOMETASONE DOC GENERICI,48102026,BECLOMETASONE DIPROPIONATO,"""100 MICROGRAMMI/EROGAZIONE SOLUZIONE PRESSURIZZATA PER INALAZIONE"" 1 CONTENITORE PRESSURIZZATO IN AL DA 200 EROGAZIONI",DOC GENERICI SRL,03/12/2024,,S�,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,R03BA01,R03BA01,73415
BECLOMETASONE TEVA,43276132,BECLOMETASONE DIPROPIONATO,"""800 MICROGRAMMI SOSPENSIONE PER NEBULIZZATORE"" 20 CONTENITORI MONODOSE IN PE",TEVA ITALIA S.R.L.,31/03/2024,,No,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,R03BA01,R03BA01,
BECOTIDE,23378058,BECLOMETASONE,"""50 MCG SPRAY NASALE, SOSPENSIONE"" 1 FLACONE  DI POLIPROPILENE DA 200 EROGAZIONI",MENARINI INTERNATIONAL OPERATIONS LUXEMBOURG S.A.,01/01/2025,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,R01AD01,R01AD01,21865
BECOTIDE,23378072,BECLOMETASONE,"""250 MICROGRAMMI/EROGAZIONE SOLUZIONE PRESSURIZZATA PER INALAZIONE"" FLACONE DA 200 EROGAZIONI",MENARINI INTERNATIONAL OPERATIONS LUXEMBOURG S.A.,18/10/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,R03BA01,R03BA01,21857
BECOTIDE,23378019,BECLOMETASONE,"""50 MICROGRAMMI/EROGAZIONE SOLUZIONE PRESSURIZZATA PER INALAZIONE"" FLACONE DA 200 EROGAZIONI",MENARINI INTERNATIONAL OPERATIONS LUXEMBOURG S.A.,18/10/2024,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,R03BA01,R03BA01,73385
BELKYRA,44896013,ACIDO DEOSSICOLICO,"""10 MG/ML SOLUZIONE INIETTABILE""  4 FLACONCINI IN VETRO DA 2 ML",ABBVIE S.R.L.,31/03/2025,,No,Cessata commercializzazione definitiva,Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero,,C NON NEGOZIATA,D11AX24,D11AX24,218863
BELLVERENE,42630018,DROSPIRENONE + ETINILESTRADIOLO,"""0,03 MG/3 MG COMPRESSE RIVESTITE CON FILM"" 1 X 21 COMPRESSE IN BLISTER PVC/PVDC/AL",EG S.P.A.,01/08/2021,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,G03AA12,G03AA12,56774
BENACTIV GOLA,33262015,FLURBIPROFENE,"""2,5 MG/ML COLLUTTORIO"" FLACONE 160 ML",RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.,05/08/2023,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,A01AD11,A01AD11,
BENAGOL,16242238,ACIDO ASCORBICO + ALCOOL 2.4 DICLOROBENZILICO + AMILMETACRESOLO + MENTOLO + SODIO ASCORBATO,"""PASTIGLIE CON VITAMINA C GUSTO ARANCIA"" 16 PASTIGLIE",RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.,03/09/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,R02AA20,R02AA20,
BENAGOL,16242240,ACIDO ASCORBICO + ALCOOL 2.4 DICLOROBENZILICO + AMILMETACRESOLO + MENTOLO + SODIO ASCORBATO,"""PASTIGLIE GUSTO MIELE E LIMONE"" 16 PASTIGLIE",RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.,15/08/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,R02AA03,R02AA03,
BENAGOL,16242190,ACIDO ASCORBICO + ALCOOL 2.4 DICLOROBENZILICO + AMILMETACRESOLO + MENTOLO + SODIO ASCORBATO,"""PASTIGLIE GUSTO FRAGOLA SENZA ZUCCHERO"" 16 PASTIGLIE",RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.,22/07/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,R02AA03,R02AA03,
BENAGOL,16242188,ACIDO ASCORBICO + ALCOOL 2.4 DICLOROBENZILICO + AMILMETACRESOLO + MENTOLO + SODIO ASCORBATO,"""PASTIGLIA GUSTO MENTOLO-EUCALIPTOLO"" 16 PASTIGLIE",RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.,14/08/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,R02AA03,R02AA03,
BENAGOL,16242214,ACIDO ASCORBICO + ALCOOL 2.4 DICLOROBENZILICO + AMILMETACRESOLO + MENTOLO + SODIO ASCORBATO,"""PASTIGLIE GUSTO LIMONE SENZA ZUCCHERO"" 16 PASTIGLIE",RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.,21/08/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,R02AA03,R02AA03,
BENAGOL,16242164,ACIDO ASCORBICO + ALCOOL 2.4 DICLOROBENZILICO + AMILMETACRESOLO + MENTOLO + SODIO ASCORBATO,""" PASTIGLIE GUSTO MENTA FREDDA "" 16 PASTIGLIE",RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.,09/02/2025,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,R02AA03,R02AA03,
BENAZEPRIL E IDROCLOROTIAZIDE AUROBINDO,38255333,BENAZEPRIL CLORIDRATO + IDROCLOROTIAZIDE,"""10MG/12.5MG COMPRESSE RIVESTITE CON FILM"" 14 COMPRESSE IN BLISTER AL/AL",AUROBINDO PHARMA (ITALIA) S.R.L.,08/05/2022,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,C09BA07,C09BA07,
BENAZEPRIL IDROCLOROTIAZIDE SANDOZ,37422019,BENAZEPRIL CLORIDRATO + IDROCLOROTIAZIDE,"""10 MG + 12.5 MG COMPRESSE RIVESTITE CON FILM"" 14 COMPRESSE IN BLISTER ACLAR/PVC/AL",SANDOZ S.P.A.,01/11/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,C09BA07,C09BA07,
BENAZEPRIL SANDOZ,37465111,BENAZEPRIL CLORIDRATO,"""10 MG COMPRESSE RIVESTITE CON FILM"" 14 COMPRESSE IN BLISTER ACLAR/PVC/AL",SANDOZ S.P.A.,23/09/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,C09AA07,C09AA07,
BENAZEPRIL SANDOZ,37465034,BENAZEPRIL CLORIDRATO,"""5 MG COMPRESSE RIVESTITE CON FILM"" 28 COMPRESSE IN BLISTER ACLAR/PVC/AL",SANDOZ S.P.A.,01/12/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,C09AA07,C09AA07,
BENDAMUSTINA ACCORD,44327056,BENDAMUSTINA CLORIDRATO,"""2,5 MG/ML POLVERE PER CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 5 FLACONCINI IN VETRO DA 100 MG","ACCORD HEALTHCARE, S.L.U.",21/03/2022,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L01AA09,L01AA09,
BENDAMUSTINA DR. REDDY'S,44575025,BENDAMUSTINA CLORIDRATO,"""2,5 MG/ML POLVERE PER CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 5 FLACONCINI IN VETRO DA 25 MG",DR. REDDY'S S.R.L.,01/08/2022,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L01AA09,L01AA09,98450
BENDAMUSTINA DR. REDDY'S,44575064,BENDAMUSTINA CLORIDRATO,"""2,5 MG/ML POLVERE PER CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 5 FLACONCINI IN VETRO DA 100 MG",DR. REDDY'S S.R.L.,01/08/2022,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L01AA09,L01AA09,98469
BENDAMUSTINA EG,44332029,BENDAMUSTINA CLORIDRATO,"""2,5 MG/ML POLVERE PER CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 5 FLACONCINI IN VETRO DA 25 MG",EG S.P.A.,31/08/2025,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L01AA09,L01AA09,98450
BENDAMUSTINA EG,44332068,BENDAMUSTINA CLORIDRATO,"""2,5 MG/ML POLVERE PER CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 5 FLACONCINI IN VETRO DA 100 MG",EG S.P.A.,31/07/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L01AA09,L01AA09,98469
BENEXOL,20213132,CIANOCOBALAMINA + COCARBOSSILASI + IDROSSICOBALAMINA + PIRIDOSSINA CLORIDRATO + TIAMINA CLORIDRATO,"""DOSAGGIO ALTO POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE"" 6 FIALE POLVERE + 6 FIALE SOLVENTE DA 2 ML",BAYER S.P.A.,23/01/2020,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,A11DB,A11DB,
BENEXOL,20213118,CIANOCOBALAMINA + COCARBOSSILASI + IDROSSICOBALAMINA + PIRIDOSSINA CLORIDRATO + TIAMINA CLORIDRATO,"""DOSAGGIO BASSO POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE"" 6 FIALE POLVERE + 6 FIALE SOLVENTE 2 ML",BAYER S.P.A.,23/01/2020,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,A11DB,A11DB,
BENZAC,32143051,BENZOILPEROSSIDO,"""5% GEL"" TUBO IN PE DA 15 G",GALDERMA ITALIA S.P.A.,30/06/2018,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,D10AE01,D10AE01,18201
