Spain_index,z_index_index,ATC_match,best_z_index_index
263,41756,True,228826
263,70039,True,228826
265,708,True,50431
265,991,True,50431
265,3644,True,50431
265,3646,True,50431
265,4200,True,50431
265,4201,True,50431
265,4202,True,50431
265,6607,True,50431
265,45481,True,50431
265,45482,True,50431
265,46669,True,50431
269,605,True,135119
269,703,True,135119
269,1313,True,135119
269,1883,True,135119
269,3116,True,135119
269,3874,True,135119
269,5915,True,135119
269,13567,True,135119
269,22818,True,135119
269,32783,True,135119
269,43219,True,135119
269,43559,True,135119
269,50650,True,135119
269,50651,True,135119
269,63216,True,135119
269,73956,True,135119
274,10446,True,82260
274,10459,True,82260
274,14122,True,82260
274,14135,True,82260
274,20808,True,82260
274,24095,True,82260
276,11731,True,196894
276,11732,True,196894
279,6861,True,86479
279,9651,True,86479
279,12241,True,86479
283,4679,True,74977
283,4681,True,74977
283,8468,True,74977
283,8470,True,74977
283,20566,True,74977
283,58679,True,74977
283,58680,True,74977
283,64298,True,74977
283,64299,True,74977
283,64300,True,74977
283,67078,True,74977
286,7401,True,81396
286,8999,True,81396
287,36986,True,146765
287,36995,True,146765
287,44433,True,146765
290,6411,True,75264
290,12945,True,75264
290,22000,True,75264
290,22001,True,75264
290,23243,True,75264
290,28670,True,75264
290,28671,True,75264
290,28839,True,75264
290,29129,True,75264
290,30478,True,75264
290,36879,True,75264
290,60608,True,75264
290,64839,True,75264
291,8342,True,96989
291,8343,True,96989
291,8344,True,96989
291,15779,True,96989
291,15780,True,96989
291,15781,True,96989
291,15782,True,96989
291,15783,True,96989
291,15784,True,96989
291,30843,True,96989
291,30844,True,96989
291,30845,True,96989
291,30846,True,96989
291,58176,True,96989
291,58178,True,96989
292,8342,True,96997
292,8343,True,96997
292,8344,True,96997
292,15779,True,96997
292,15780,True,96997
292,15781,True,96997
292,15782,True,96997
292,15783,True,96997
292,15784,True,96997
292,30843,True,96997
292,30844,True,96997
292,30845,True,96997
292,30846,True,96997
292,58176,True,96997
292,58178,True,96997
294,2637,True,52825
294,2638,True,52825
294,2639,True,52825
294,7026,True,52825
294,7027,True,52825
294,52630,True,52825
302,1691,True,38261
302,3187,True,38261
302,3836,True,38261
302,16520,True,38261
303,472,True,5711
303,482,True,5711
303,621,True,5711
303,643,True,5711
303,19785,True,5711
303,24478,True,5711
303,39675,True,5711
305,553,True,56022
305,2178,True,56022
305,2369,True,56022
305,2386,True,56022
305,3636,True,56022
305,6065,True,56022
305,25860,True,56022
305,42703,True,56022
305,46734,True,56022
305,54579,True,56022
305,69955,True,56022
305,71105,True,56022
308,3184,True,60151
308,28046,True,60151
309,472,True,5703
309,482,True,5703
309,621,True,5703
309,643,True,5703
309,19785,True,5703
309,24478,True,5703
309,39675,True,5703
317,1856,True,50520
317,1857,True,50520
317,21998,True,50520
322,3464,True,
322,3465,True,
322,7326,True,
322,14554,True,
322,18788,True,
323,5891,True,
323,21792,True,
323,21793,True,
323,21794,True,
323,21795,True,
325,8085,True,79766
325,8126,True,79766
325,8167,True,79766
325,18121,True,79766
336,1856,True,50520
336,1857,True,50520
336,21998,True,50520
337,2514,True,82899
337,7290,True,82899
337,7291,True,82899
338,10661,True,94064
338,13414,True,94064
338,29496,True,94064
340,10048,True,38202
340,10108,True,38202
340,10168,True,38202
340,10228,True,38202
340,17323,True,38202
340,18122,True,38202
340,18140,True,38202
340,21912,True,38202
341,36986,True,146765
341,36995,True,146765
341,44433,True,146765
343,3911,True,
343,3912,True,
343,3913,True,
343,20047,True,
343,51732,True,
346,1273,True,20850
346,1274,True,20850
346,3472,True,20850
346,3473,True,20850
346,9087,True,20850
346,14467,True,20850
346,23098,True,20850
346,42589,True,20850
346,43232,True,20850
346,43233,True,20850
347,2919,True,
347,2920,True,
347,4506,True,
347,9252,True,
347,15481,True,
347,15483,True,
348,29088,True,100846
348,32479,True,100846
348,52938,True,100846
349,2620,True,
349,2621,True,
349,2622,True,
349,6396,True,
349,7332,True,
349,46624,True,
350,605,True,17469
350,703,True,17469
350,1313,True,17469
350,1883,True,17469
350,3116,True,17469
350,3874,True,17469
350,5915,True,17469
