Sweden_index,z_index_index,ATC_match,best_z_index_index
43,36724,True,98183
43,36725,True,98183
43,36726,True,98183
43,39511,True,98183
43,39512,True,98183
43,39513,True,98183
43,39744,True,98183
43,42631,True,98183
43,67230,True,98183
43,67231,True,98183
43,67232,True,98183
43,67233,True,98183
43,67234,True,98183
43,67235,True,98183
43,68985,True,98183
43,68986,True,98183
43,68987,True,98183
44,8330,True,98183
44,8331,True,98183
44,8332,True,98183
44,8333,True,98183
44,15862,True,98183
44,15863,True,98183
44,15864,True,98183
44,17568,True,98183
44,17570,True,98183
44,17572,True,98183
44,17573,True,98183
44,17574,True,98183
44,17575,True,98183
44,23077,True,98183
44,23078,True,98183
44,27414,True,98183
44,27415,True,98183
44,29552,True,98183
44,36724,True,98183
44,36725,True,98183
44,36726,True,98183
44,39511,True,98183
44,39512,True,98183
44,39513,True,98183
44,39744,True,98183
44,42631,True,98183
44,67230,True,98183
44,67231,True,98183
44,67232,True,98183
44,67233,True,98183
44,67234,True,98183
44,67235,True,98183
44,68985,True,98183
44,68986,True,98183
44,68987,True,98183
45,8330,True,98183
45,8331,True,98183
45,8332,True,98183
45,8333,True,98183
45,15862,True,98183
45,15863,True,98183
45,15864,True,98183
45,17568,True,98183
45,17570,True,98183
45,17572,True,98183
45,17573,True,98183
45,17574,True,98183
45,17575,True,98183
45,23077,True,98183
45,23078,True,98183
45,27414,True,98183
45,27415,True,98183
45,29552,True,98183
45,36724,True,98183
45,36725,True,98183
45,36726,True,98183
45,39511,True,98183
45,39512,True,98183
45,39513,True,98183
45,39744,True,98183
45,42631,True,98183
45,67230,True,98183
45,67231,True,98183
45,67232,True,98183
45,67233,True,98183
45,67234,True,98183
45,67235,True,98183
45,68985,True,98183
45,68986,True,98183
45,68987,True,98183
46,8330,True,98183
46,8331,True,98183
46,8332,True,98183
46,8333,True,98183
46,15862,True,98183
46,15863,True,98183
46,15864,True,98183
46,17568,True,98183
46,17570,True,98183
46,17572,True,98183
46,17573,True,98183
46,17574,True,98183
46,17575,True,98183
46,23077,True,98183
46,23078,True,98183
46,27414,True,98183
46,27415,True,98183
46,29552,True,98183
46,36724,True,98183
46,36725,True,98183
46,36726,True,98183
46,39511,True,98183
46,39512,True,98183
46,39513,True,98183
46,39744,True,98183
46,42631,True,98183
46,67230,True,98183
46,67231,True,98183
46,67232,True,98183
46,67233,True,98183
46,67234,True,98183
46,67235,True,98183
46,68985,True,98183
46,68986,True,98183
46,68987,True,98183
47,8330,True,98183
47,8331,True,98183
47,8332,True,98183
47,8333,True,98183
47,15862,True,98183
47,15863,True,98183
47,15864,True,98183
47,17568,True,98183
47,17570,True,98183
47,17572,True,98183
47,17573,True,98183
47,17574,True,98183
47,17575,True,98183
47,23077,True,98183
47,23078,True,98183
47,27414,True,98183
47,27415,True,98183
47,29552,True,98183
47,36724,True,98183
47,36725,True,98183
47,36726,True,98183
47,39511,True,98183
47,39512,True,98183
47,39513,True,98183
47,39744,True,98183
47,42631,True,98183
47,67230,True,98183
47,67231,True,98183
47,67232,True,98183
47,67233,True,98183
47,67234,True,98183
47,67235,True,98183
47,68985,True,98183
47,68986,True,98183
47,68987,True,98183
48,8330,True,98183
48,8331,True,98183
48,8332,True,98183
48,8333,True,98183
48,15862,True,98183
48,15863,True,98183
48,15864,True,98183
48,17568,True,98183
48,17570,True,98183
48,17572,True,98183
48,17573,True,98183
48,17574,True,98183
48,17575,True,98183
48,23077,True,98183
48,23078,True,98183
48,27414,True,98183
48,27415,True,98183
48,29552,True,98183
48,36724,True,98183
48,36725,True,98183
48,36726,True,98183
48,39511,True,98183
48,39512,True,98183
48,39513,True,98183
48,39744,True,98183
48,42631,True,98183
48,67230,True,98183
48,67231,True,98183
48,67232,True,98183
48,67233,True,98183
48,67234,True,98183
48,67235,True,98183
48,68985,True,98183
48,68986,True,98183
48,68987,True,98183
49,8330,True,98183
49,8331,True,98183
49,8332,True,98183
49,8333,True,98183
49,15862,True,98183
49,15863,True,98183
49,15864,True,98183
49,17568,True,98183
49,17570,True,98183
49,17572,True,98183
49,17573,True,98183
49,17574,True,98183
49,17575,True,98183
49,23077,True,98183
49,23078,True,98183
49,27414,True,98183
49,27415,True,98183
49,29552,True,98183
49,36724,True,98183
49,36725,True,98183
49,36726,True,98183
49,39511,True,98183
49,39512,True,98183
49,39513,True,98183
49,39744,True,98183
49,42631,True,98183
49,67230,True,98183
49,67231,True,98183
49,67232,True,98183
49,67233,True,98183
49,67234,True,98183
49,67235,True,98183
49,68985,True,98183
49,68986,True,98183
49,68987,True,98183
50,8330,True,98191
50,8331,True,98191
50,8332,True,98191
50,8333,True,98191
50,15862,True,98191
50,15863,True,98191
50,15864,True,98191
50,17568,True,98191
50,17570,True,98191
50,17572,True,98191
50,17573,True,98191
50,17574,True,98191
50,17575,True,98191
50,23077,True,98191
50,23078,True,98191
50,27414,True,98191
50,27415,True,98191
50,29552,True,98191
50,36724,True,98191
50,36725,True,98191
50,36726,True,98191
50,39511,True,98191
50,39512,True,98191
50,39513,True,98191
50,39744,True,98191
50,42631,True,98191
50,67230,True,98191
50,67231,True,98191
50,67232,True,98191
50,67233,True,98191
50,67234,True,98191
50,67235,True,98191
50,68985,True,98191
50,68986,True,98191
50,68987,True,98191
51,8330,True,98191
51,8331,True,98191
