Nome medicinale;Codice AIC;Principio attivo;Forma farmaceutica e dosaggio;Titolare AIC;Data inizio;Fine presunta;Equivalente;Motivazioni;Suggerimenti/Indicazioni AIFA;Nota AIFA;Classe di rimborsabilit�;Codice ATC
PIPERACILLINA E TAZOBACTAM SANDOZ;038717017;PIPERACILLINA + TAZOBACTAM;"""2 G/250 MG POLVERE PER SOLUZIONE INIETTABILE O PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 30 ML";SANDOZ S.P.A.;01/10/2025;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01CR05
PIPERACILLINA K24 PHARMACEUTICALS;033423031;PIPERACILLINA SODICA;"""4 G POLVERE PER SOLUZIONE INIETTABILE"" 1 FLACONE";K24 PHARMACEUTICALS S.R.L.;20/06/2023;;S�;Cessata commercializzazione temporanea;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A CARICO DEL SSN AMBITO OSPED.;J01CA12
PIPERACILLINA K24 PHARMACEUTICALS;033423017;PIPERACILLINA SODICA;"""1 G POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE"" 1 FLACONE + 1 FIALA";K24 PHARMACEUTICALS S.R.L.;24/02/2016;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01CA12
PIPERACILLINA K24 PHARMACEUTICALS;033423029;PIPERACILLINA SODICA;"""2 G POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE"" 1 FLACONE + 1 FIALA";K24 PHARMACEUTICALS S.R.L.;24/02/2016;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01CA12
PIPERITAL;028735013;PIPERACILLINA SODICA;""" 1 G/ 2 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE"" 1 FLACONCINO POLVERE + 1 FIALA SOLVENTE DA 2 ML";ISTITUTO BIOCHIMICO ITALIANO GIOVANNI LORENZINI S.P.A.;30/05/2023;;S�;Cessata commercializzazione temporanea;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DEL SSN.;J01CA12
PIPERITAL;028735025;PIPERACILLINA SODICA;"""2 G/ 4 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE  PER USO INTRAMUSCOLARE"" 1 FLACONCINO POLVERE + 1 FIALA SOLVENTE DA 4 ML";ISTITUTO BIOCHIMICO ITALIANO GIOVANNI LORENZINI S.P.A.;30/05/2023;;S�;Cessata commercializzazione temporanea;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DEL SSN.;J01CA12
PIPERITAL;028735049;PIPERACILLINA SODICA;"""2 G POLVERE PER SOLUZIONE INIETTABILE "" 10 FLACONCINI POLVERE";ISTITUTO BIOCHIMICO ITALIANO GIOVANNI LORENZINI S.P.A.;30/05/2023;;No;Cessata commercializzazione temporanea;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A CARICO DEL SSN AMBITO OSPED.;J01CA12
PIPERITAL;028735037;PIPERACILLINA SODICA;"""4 G POLVERE PER SOLUZIONE PER INFUSIONE"" 1 FLACONE POLVERE";ISTITUTO BIOCHIMICO ITALIANO GIOVANNI LORENZINI S.P.A.;30/05/2023;;S�;Cessata commercializzazione temporanea;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A CARICO DEL SSN AMBITO OSPED.;J01CA12
PIPERTEX;033958036;PIPERACILLINA SODICA;"""4G POLVERE PER SOLUZIONE INIETTABILE"" 10 FLACONI POLVERE 4 G";PHARMATEX ITALIA S.R.L.;30/06/2023;;S�;Problemi regolatori;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J01CA12
PIPERTEX;033958024;PIPERACILLINA SODICA;"""2G POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE"" FLACONCINO POLVERE 2 G + FIALA SOLVENTE";PHARMATEX ITALIA S.R.L.;31/07/2023;;S�;Problemi regolatori;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DEL SSN.;J01CA12
PIRFENIDONE EG;049504018;PIRFENIDONE;"""267 MG COMPRESSE RIVESTITE CON FILM"" 63 COMPRESSE IN BLISTER AL/PVC/PVDC";EG S.P.A.;21/02/2025;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L04AX05
PIRFENIDONE EG;049504133;PIRFENIDONE;"""801 MG COMPRESSE RIVESTITE CON FILM"" 84 COMPRESSE IN BLISTER AL/PVC/PVDC";EG S.P.A.;21/02/2025;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L04AX05
PIRFENIDONE ZENTIVA;050042098;PIRFENIDONE;"""801 mg COMPRESSE RIVESTITE CON FILM"" 84 COMPRESSE IN BLISTER PVC-AL";ZENTIVA ITALIA S.R.L.;15/02/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L04AX05
PIRFENIDONE ZENTIVA;050042023;PIRFENIDONE;"""267 mg COMPRESSE RIVESTITE CON FILM"" 252 COMPRESSE IN BLISTER PVC-AL";ZENTIVA ITALIA S.R.L.;15/02/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L04AX05
PIRFENIDONE ZENTIVA;050042011;PIRFENIDONE;"""267 mg COMPRESSE RIVESTITE CON FILM"" 63 COMPRESSE IN BLISTER PVC-AL";ZENTIVA ITALIA S.R.L.;15/02/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L04AX05
PIROS;035854013;PARACETAMOLO;""" 500 MG COMPRESSE EFFERVESCENTI "" 10 COMPRESSE";A. MENARINI INDUSTRIE FARMACEUTICHE RIUNITE S.R.L.;01/05/2025;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;N02BE01
PIROXICAM DOC;034859025;PIROXICAM;"""1% CREMA"" TUBO 50 G";DOC GENERICI SRL;09/08/2024;;S�;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;M02AA07
PIXUVRI;042463012;PIXANTRONE;29 MG - POLVERE PER CONCENTRATO PER SOLUZIONE PER INFUSIONE - USO ENDOVENOSO - FLACONCINO (VETRO) - 1 FLACONCINO;LES LABORATOIRES SERVIER;01/01/2025;;No;Cessata commercializzazione definitiva;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero;;A CARICO DEL SSN AMBITO OSPED.;L01DB11
PLASBUMIN;028989046;ALBUMINA UMANA;"""200 G/L SOLUZIONE PER INFUSIONE"" FLACONE 50 ML";INSTITUTO GRIFOLS S.A.;20/04/2022;31/12/2024;S�;Elevata richiesta: forniture discontinue (carenza relativa solo al canale ospedaliero);Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DEL SSN.;B05AA01
PLASBUMIN;028989059;ALBUMINA UMANA;"""200 G/L SOLUZIONE PER INFUSIONE"" FLACONE 100 ML";INSTITUTO GRIFOLS S.A.;15/01/2025;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B05AA01
PLENAER;031120025;FLUNISOLIDE + SALBUTAMOLO;"""25 MG + 10 MG SOSPENSIONE PRESSURIZZATA PER INALAZIONE"" FLACONE DA 100 EROGAZIONI";VALEAS SPA INDUSTRIA CHIMICA E FARMACEUTICA;01/03/2014;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;R03AK
PLENAER;031120013;FLUNISOLIDE + SALBUTAMOLO;"""0,5 MG+ 0,5 MG SOLUZIONE DA NEBULIZZARE"" 20 FLACONI DA 0,5 MG+20 FLACONI DA 0,5 MG";VALEAS SPA INDUSTRIA CHIMICA E FARMACEUTICA;30/03/2022;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;R03AK
PLEYRIS;041348069;PROGESTERONE;"""25 MG SOLUZIONE INIETTABILE""  14 FLACONCINI IN VETRO";IBSA FARMACEUTICI ITALIA S.R.L.;30/12/2022;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;G03DA04
PNEUMOVAX;034933010;VACCINO PNEUMOCOCCICO;"""SOLUZIONE INIETTABILE IN FLACONCINO"" 1 FLACONCINO DA 0,5 ML";MSD ITALIA S.R.L.;13/01/2017;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;disponibile in commercio la confezione sostitutiva 034933111 dello stesso titolare;A TOTALE CARICO DELL'ASSISTITO;J07AL01
POLIOINFANRIX;037157017;EMOAGGLUTININA FILAMENTOSA + PERTACTINA + TOSSOIDE DIFTERICO + TOSSOIDE PERTOSSICO (PT) + TOSSOIDE TETANICO + VIRUS DELLA POLIOMIELITE INATTIVATO DI TIPO 1 + VIRUS DELLA POLIOMIELITE INATTIVATO DI TIPO 2 + VIRUS DELLA POLIOMIELITE INATTIVATO DI TIPO 3;"""SOSPENSIONE INIETTABILE IN SIRINGA PRERIEMPITA"" 1 SIRINGA DA 0,5 ML CON 1 AGO";GLAXOSMITHKLINE S.P.A.;01/01/2018;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;J07CA02
POMALIDOMIDE VIATRIS;051116150;POMALIDOMIDE;4 mg - Capsule rigide - Uso orale - blister (PVC/PCTFE/alu) - 21 capsule;VIATRIS LIMITED;19/12/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L04AX06
POMALIDOMIDE VIATRIS;051116111;POMALIDOMIDE;3 mg - Capsule rigide - Uso orale - blister (PVC/PCTFE/alu) - 21 capsule;VIATRIS LIMITED;19/12/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L04AX06
POMALIDOMIDE VIATRIS;051116073;POMALIDOMIDE;2 mg - Capsule rigide - Uso orale - blister (PVC/PCTFE/alu) - 21 capsule;VIATRIS LIMITED;19/12/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L04AX06
POMALIDOMIDE VIATRIS;051116010;POMALIDOMIDE;1 mg - Capsule rigide - Uso orale - blister (PVC/PCTFE/alu) - 14 capsule;VIATRIS LIMITED;19/12/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L04AX06
POMALIDOMIDE VIATRIS;051116059;POMALIDOMIDE;2 mg - Capsule rigide - Uso orale - blister (PVC/PCTFE/alu) - 14 capsule;VIATRIS LIMITED;19/12/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L04AX06
POMALIDOMIDE VIATRIS;051116034;POMALIDOMIDE;1 mg - Capsule rigide - Uso orale - blister (PVC/PCTFE/alu) - 21 capsule;VIATRIS LIMITED;19/12/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L04AX06
POSACONAZOLO ACCORD;048149025;POSACONAZOLO;100 MG - COMPRESSA GASTRORESISTENTE - USO ORALE - BLISTER (PVC/PE/PVDC/ALU) - 24 X 1 COMPRESSE (DOSE UNITARIA);ACCORD HEALTHCARE, S.L.U.;20/02/2025;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J02AC04
POSACONAZOLO AHCL;048101012;POSACONAZOLO;40 MG/ML - SOSPENSIONE ORALE - USO ORALE - FLACONE (VETRO) - 105 ML - 1 FLACONE;ACCORD HEALTHCARE, S.L.U.;06/05/2022;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J02AC04
POSACONAZOLO MYLAN;047603016;POSACONAZOLO;"""40 MG/ML SOSPENSIONE ORALE"" 1 FLACONE IN VETRO DA 105 ML";MYLAN S.P.A.;19/03/2025;;S�;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J02AC04
POSACONAZOLO TILLOMED;048438016;POSACONAZOLO;"""40 MG/ML SOSPENSIONE ORALE"" 1 FLACONE IN VETRO";TILLOMED ITALIA SRL;31/07/2023;;S�;Cessata commercializzazione definitiva;Rilasciata determinazione per l�importazione al titolare A.I.C.;;A TOTALE CARICO DEL SSN.;J02AC04
POSACONAZOLO ZENTIVA;049469099;POSACONAZOLO;"""100 MG COMPRESSE GASTRORESISTENTI"" 24 COMPRESSE IN BLISTER PVC/PE/PVDC/AL";ZENTIVA ITALIA S.R.L.;31/01/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J02AC04
POTACTASOL;041372020;TOPOTECAN;"""4 MG - POLVERE PER CONCENTRATO PER SOLUZIONE PER INFUSIONE - USO ENDOVENOSO - FLACONCINO(VETRO) - 4 MG(1MG/ML)"" 1 FLACONCINO";ACTAVIS GROUP PTC EHF;30/09/2019;;No;Cessata commercializzazione definitiva;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A CARICO DEL SSN AMBITO OSPED.;L01CE01
POTASSIO ASPARTATO MONICO;036938037;POTASSIO ASPARTATO;""" 3 MEQ/ML  CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 30 FLACONCINI  DA 100 ML";MONICO S.P.A.;16/12/2024;31/12/2025;No;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;B05XA
POTASSIO ASPARTATO MONICO;036938025;POTASSIO ASPARTATO;""" 3 MEQ/ML  CONCENTRATO PER SOLUZIONE PER INFUSIONE E PER USO ORALE"" 10 FIALE DA 10 ML";MONICO S.P.A.;28/03/2025;31/12/2025;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;B05XA
POTASSIO ASPARTATO MONICO;036938013;POTASSIO ASPARTATO;""" 1 MEQ/ML  CONCENTRATO PER SOLUZIONE PER INFUSIONE E PER USO ORALE"" 10 FIALE DA 10 ML";MONICO S.P.A.;28/02/2025;31/12/2025;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;B05XA
POTASSIO ASPARTATO MONICO;036938049;POTASSIO ASPARTATO;""" 3 MEQ/ML  CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 20 FLACONCINI DA 250 ML";MONICO S.P.A.;16/12/2024;31/12/2025;No;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;B05XA
POTASSIO CANRENOATO EG;035557014;POTASSIO CANRENOATO;""" 100 MG COMPRESSE RIVESTITE CON FILM "" 20 CPR";EG S.P.A.;01/05/2025;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C03DA02
POTASSIO CANRENOATO PENSA;033807013;POTASSIO CANRENOATO;"""100 MG COMPRESSE RIVESTITE CON FILM"" 20 COMPRESSE";Towa Pharmaceutical S.p.A.;01/02/2025;30/09/2025;S�;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C03DA02
POVIDERM;032813127;IODOPOVIDONE;""" 1% SOLUZIONE CUTANEA "" 24 FLACONI 250 ML";NUOVA FARMEC S.R.L.;28/02/2018;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D08AG02
POVIDERM;032813139;IODOPOVIDONE;""" 1% SOLUZIONE CUTANEA "" 20 FLACONI 500 ML";NUOVA FARMEC S.R.L.;01/03/2018;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D08AG02
POVIDERM;032813141;IODOPOVIDONE;""" 1% SOLUZIONE CUTANEA "" 12 FLACONI 1 LITRO";NUOVA FARMEC S.R.L.;02/03/2018;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D08AG02
PRAMIPEXOLO MYLAN;040084257;PRAMIPEXOLO;"""0,7 MG COMPRESSE"" 30 COMPRESSE IN BLISTER AL /AL";MYLAN S.P.A.;09/12/2024;;S�;Elevata richiesta/problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N04BC05
PRAMIPEXOLO MYLAN PHARMA;045421029;PRAMIPEXOLO;"""0,26 MG COMPRESSE A RILASCIO PROLUNGATO"" 10 COMPRESSE IN BLISTER OPA/AL/PVC";MYLAN S.P.A.;13/01/2025;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N04BC05
PRAMIPEXOLO PENSA;040056018;PRAMIPEXOLO;"""0,18 MG COMPRESSE"" 30 COMPRESSE IN BLISTER OPA/AL/PVC/AL";Towa Pharmaceutical S.p.A.;01/10/2024;30/06/2025;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N04BC05
PRAMIPEXOLO PENSA PHARMA;042363059;PRAMIPEXOLO;""" 2,1 MG COMPRESSE A RILASCIO PROLUNGATO "" 30 COMPRESSE IN BLISTER AL/OPA-AL-PVC";Towa Pharmaceutical S.p.A.;01/02/2025;30/06/2025;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N04BC05
PRAMIPEXOLO PENSA PHARMA;042363034;PRAMIPEXOLO;""" 0,52 MG COMPRESSE A RILASCIO PROLUNGATO "" 10 COMPRESSE IN BLISTER AL/OPA-AL-PVC";Towa Pharmaceutical S.p.A.;01/05/2025;30/09/2025;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N04BC05
PRAMIPEXOLO PENSA PHARMA;042363010;PRAMIPEXOLO;""" 0,26 MG COMPRESSE A RILASCIO PROLUNGATO "" 10 COMPRESSE IN BLISTER AL/OPA-AL-PVC";Towa Pharmaceutical S.p.A.;19/05/2025;30/09/2025;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N04BC05
PRAMIPEXOLO ZENTIVA;039849070;PRAMIPEXOLO DICLORIDRATO MONOIDRATO;"""0,7 MG COMPRESSE"" 30 COMPRESSE IN BLISTER OPA//AL/PVC/AL";ZENTIVA ITALIA S.R.L.;30/06/2022;;S�;Problemi produttivi: forniture discontinue;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N04BC05
PRAMIPEXOLO ZENTIVA;039849031;PRAMIPEXOLO DICLORIDRATO MONOIDRATO;"""0,18 MG COMPRESSE"" 30 COMPRESSE IN BLISTER OPA//AL/PVC/AL";ZENTIVA ITALIA S.R.L.;08/06/2022;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N04BC05
PRASUGREL TEVA;045597402;PRASUGREL;"""10 MG COMPRESSE RIVESTITE CON FILM"" 28X1 COMPRESSE IN BLISTER DIVISIBILE PER DOSE UNITARIA OPA/AL/PE-AL";TEVA B.V.;03/06/2024;31/03/2025;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;"carenza relativa sia al canale retail che al canale ospedaliero:
- inizio carenza canale retail: 24/06/2024
- inizio carenza canale ospedaliero: 03/06/2024";A TOTALE CARICO DEL SSN.;B01AC22
PRASUGREL VIATRIS;046634010;PRASUGREL;5 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - FLACONE (HDPE) - 28 COMPRESSE;VIATRIS LIMITED;31/03/2023;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B01AC22
PRASUGREL VIATRIS;046634022;PRASUGREL;10 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - FLACONE (HDPE) - 28 COMPRESSE;VIATRIS LIMITED;19/04/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B01AC22
PRAVASTATINA EG;037682212;PRAVASTATINA SODICA;"""40 MG COMPRESSE RIVESTITE CON FILM"" 14 COMPRESSE IN BLISTER PVC/PCTFE/AL";EG S.P.A.;31/10/2015;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C10AA03
PRAVASTATINA EG;037682198;PRAVASTATINA SODICA;"""20 MG COMPRESSE RIVESTITE CON FILM"" 10 COMPRESSE IN BLISTER PVC/PCTFE/AL";EG S.P.A.;31/10/2015;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C10AA03
PRAZENE;023762038;PRAZEPAM;"""20 MG COMPRESSE"" 20 COMPRESSE";PFIZER ITALIA S.R.L.;01/07/2022;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;N05BA11
PRAZENE;023762026;PRAZEPAM;"""10 MG COMPRESSE"" 30 COMPRESSE";PFIZER ITALIA S.R.L.;01/07/2022;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;N05BA11
PREDNISONE ZENTIVA;043410012;PREDNISONE;"""5 MG COMPRESSE"" 10 COMPRESSE IN BLISTER PVC-PVDC/ALU";PHARMACARE S.R.L.;31/08/2019;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;H02AB07
PREGABALIN ACCORD;044474258;PREGABALIN;75 MG - CAPSULA RIGIDA - USO ORALE - BLISTER (PVC/ALU) - 56 CAPSULE;ACCORD HEALTHCARE, S.L.U.;05/09/2024;;S�;Elevata richiesta: forniture discontinue;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02BF02
PREGABALIN ACCORD;044474791;PREGABALIN;300 MG - CAPSULA RIGIDA - USO ORALE - BLISTER (PVC/ALLUMINIO) -  56  CAPSULE;ACCORD HEALTHCARE, S.L.U.;12/11/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02BF02
PREGABALIN ACCORD;044474132;PREGABALIN;50 MG - CAPSULA RIGIDA- USO ORALE - BLISTER  (PVC/ALLUMINIO) - 21  CAPSULE;ACCORD HEALTHCARE, S.L.U.;27/02/2025;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;C NON NEGOZIATA;N02BF02
PREGABALIN AUROBINDO;043740380;PREGABALIN;"""300 MG CAPSULE RIGIDE"" 56 CAPSULE IN BLISTER PVC/AL";AUROBINDO PHARMA (ITALIA) S.R.L.;23/08/2021;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02BF02
PREGABALIN DOC GENERICI;043674050;PREGABALIN;"""100 MG CAPSULE RIGIDE"" 21 CAPSULE IN BLISTER PVC/AL";DOC GENERICI SRL;30/06/2023;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;N02BF02
PREGABALIN PENSA PHARMA;050003072;PREGABALIN;"""300 MG CAPSULE RIGIDE"" 56 CAPSULE IN BLISTER PVC/PE/PVDC/AL/PVDC";Towa Pharmaceutical S.p.A.;17/07/2024;31/03/2025;S�;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N03AX16
PREGABALIN PENSA PHARMA;050003058;PREGABALIN;"""150 MG CAPSULE RIGIDE"" 14 CAPSULE IN BLISTER PVC/PE/PVDC/AL/PVDC";Towa Pharmaceutical S.p.A.;01/03/2025;30/09/2025;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N03AX16
PREGABALIN PENSA PHARMA;050003019;PREGABALIN;"""25 MG CAPSULE RIGIDE"" 14 CAPSULE IN BLISTER PVC/PE/PVDC/AL/PVDC";Towa Pharmaceutical S.p.A.;01/03/2025;30/09/2025;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N03AX16
