Nome medicinale;Codice AIC;Principio attivo;Forma farmaceutica e dosaggio;Titolare AIC;Data inizio;Fine presunta;Equivalente;Motivazioni;Suggerimenti/Indicazioni AIFA;Nota AIFA;Classe di rimborsabilit�;Codice ATC
OPTIRAY;027674163;IOVERSOLO;"""350 MG/ML SOLUZIONE INIETTABILE"" FLACONE 100 ML";GUERBET;04/12/2024;28/11/2025;No;Elevata richiesta/problemi produttivi: forniture discontinue;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DELL'ASSISTITO;V08AB07
OPTIRAY;027674062;IOVERSOLO;"""320 MG/ML SOLUZIONE INIETTABILE""  FLACONE 200 ML";GUERBET;02/12/2024;31/10/2025;No;Elevata richiesta/problemi produttivi: forniture discontinue;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DELL'ASSISTITO;V08AB07
ORAXIM;027002043;CEFUROXIMA;"""125MG/5ML GRANULATO PER SOSPENSIONE ORALE"" FLACONE DA 100ML";MALESCI ISTITUTO FARMACOBIOLOGICO S.P.A.;03/06/2019;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DC02
ORAXIM;027002056;CEFUROXIMA;"""250MG GRANULATO PER SOSPENSIONE ORALE"" 12 BUSTINE";MALESCI ISTITUTO FARMACOBIOLOGICO S.P.A.;18/02/2015;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DC02
ORAXIM;027002070;CEFUROXIMA;"""250MG/5ML GRANULATO PER SOSPENSIONE ORALE"" FLACONE 50 ML";MALESCI ISTITUTO FARMACOBIOLOGICO S.P.A.;30/01/2023;;S�;Problemi produttivi: forniture discontinue;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DEL SSN.;J01DC02
ORAXIM;027002029;CEFUROXIMA;"""250 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";MALESCI ISTITUTO FARMACOBIOLOGICO S.P.A.;01/05/2025;;S�;Problemi produttivi: distribuzione contingentata;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DC02
ORAXIM;027002031;CEFUROXIMA;"""500 MG COMPRESSE RIVESTITE CON FILM"" 6 COMPRESSE";MALESCI ISTITUTO FARMACOBIOLOGICO S.P.A.;01/05/2025;;S�;Problemi produttivi: distribuzione contingentata;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DC02
ORENCIA;037989112;ABATACEPT;125 MG - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO - SIRINGA (VETRO) IN PENNA PRERIEMPITA (CLICKJECT) 1 ML (125 MG/ML) - 4 PENNE PRERIEMPITE;BRISTOL-MYERS SQUIBB PHARMA EEIG;15/01/2025;30/06/2025;S�;Motivi commerciali (carenza relativa solo al canale retail);Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L04AA24
ORGOVYX;050079019;RELUGOLIX;120 mg - Compressa rivestita con film - Uso orale - Flacone (HDPE) in una scatola - 30 compresse;ACCORD HEALTHCARE, S.L.U.;30/04/2025;;No;Elevata richiesta: distribuzione contingentata;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DEL SSN.;L02BX04
ORMICTON;038894010;FINASTERIDE;""" 5 MG COMPRESSE RIVESTITE CON FILM "" 15 COMPRESSE";ALFASIGMA S.P.A.;17/05/2024;31/05/2025;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;G04CB01
