nr,ZI-nummer,Artikelnaam,Verpakking status*,Preferent bij Zilveren Kruis,Preferent bij CZ,Preferent bij Menzis,Preferent bij VGZ,Preferent bij DSW,Preferent bij ONVZ,Laagste Prijs  Niet-beschikbaar,Opmerking van fabrikant,scrape_datum,bron_week
49,15910512,ATORVASTATINE SANDOZ TABLET FILMOMHULD 40MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
50,15772446,ATORVASTATINE TEVA TABLET FILMOMHULD 10MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
51,15772454,ATORVASTATINE TEVA TABLET FILMOMHULD 20MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
52,15772462,ATORVASTATINE TEVA TABLET FILMOMHULD 40MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
53,15931714,ATOVAQUON/PROGUANIL TEVA TABLET FILMOMH 250/100MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
54,17065739,"ATROPINESULFAAT ACCORD INJVLST 0,1MG/ML WWSP 5ML",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
55,14691159,ATROVENT AEROSOL 20MCG/DO SPBS 200DO + INHALATOR,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
56,15433277,AZARGA OOGDRUPPELS FLACON 5ML,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
57,13556207,AZATHIOPRINE TEVA TABLET 50MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
58,16951239,BAQSIMI NEUSPOEDER 3MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
59,17126088,BARNIDIPINE HCL TEVA RETARD CAPSULE MGA 20MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
60,17432421,BECLOMETA/FORMOT ALLGEN AER 100/6MCG/DO SPBS 120DO,,False,False,False,False,False,False,,Week 6,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
61,16219503,BENDAMUSTINE ACCORD INFPDR FLACON 25MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
62,16219481,BENDAMUSTINE ACCORD INFPDR FLACON 100MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
63,14606003,BERODUAL CFKVR AEROSOL SPUITBUS 200DO + INHALATOR,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
64,15522792,BETAHISTINE DIHCL TEVA TABLET 24MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
65,12106216,BETNELAN ZALF 1MG/G,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
66,16737156,"BEXSERO INJSUSP WWSP 0,5ML + TOEBEH",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
67,17223911,BIJUVA CAPSULE 1/100MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
